Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Algeria,0.652,0.659,0.668,0.675,0.683,0.69,0.696,0.701,0.709,0.716,0.721,0.725,0.726,0.729,0.732,0.736,0.738,0.738,0.74,0.742,0.73
Bahrain,0.775,0.786,0.792,0.799,0.795,0.791,0.794,0.8,0.803,0.803,0.807,0.812,0.827,0.839,0.839,0.859,0.862,0.867,0.88,0.888,0.884
Djibouti,0.33,0.34,0.346,0.357,0.365,0.374,0.384,0.394,0.401,0.411,0.422,0.432,0.444,0.453,0.463,0.473,0.482,0.491,0.499,0.508,0.512
Egypt,0.629,0.633,0.634,0.632,0.635,0.637,0.642,0.649,0.656,0.661,0.667,0.671,0.679,0.684,0.688,0.695,0.702,0.709,0.717,0.724,0.729
Iran (Islamic Republic of),0.692,0.7,0.708,0.713,0.722,0.727,0.738,0.742,0.744,0.748,0.756,0.765,0.78,0.78,0.783,0.782,0.785,0.788,0.787,0.785,0.779
Iraq,0.583,0.588,0.588,0.566,0.588,0.591,0.591,0.596,0.612,0.622,0.629,0.637,0.644,0.648,0.651,0.656,0.661,0.667,0.673,0.678,0.661
Israel,0.835,0.838,0.843,0.843,0.847,0.856,0.864,0.876,0.877,0.881,0.887,0.89,0.891,0.896,0.899,0.899,0.902,0.906,0.908,0.909,0.906
Jordan,0.681,0.687,0.691,0.697,0.707,0.713,0.719,0.716,0.726,0.728,0.727,0.73,0.736,0.738,0.737,0.738,0.74,0.744,0.742,0.744,0.74
Kuwait,0.78,0.779,0.785,0.796,0.8,0.8,0.8,0.802,0.806,0.808,0.811,0.817,0.821,0.813,0.816,0.829,0.832,0.835,0.836,0.838,0.826
Lebanon,,,,,,0.71,0.711,0.724,0.733,0.741,0.749,0.755,0.757,0.756,0.755,0.756,0.76,0.765,0.764,0.76,0.742
Libya,0.746,0.748,0.75,0.755,0.758,0.764,0.768,0.771,0.773,0.772,0.774,0.734,0.777,0.766,0.75,0.749,0.746,0.761,0.764,0.756,0.737
Morocco,0.525,0.536,0.547,0.557,0.564,0.57,0.576,0.583,0.59,0.596,0.604,0.616,0.626,0.636,0.645,0.656,0.662,0.671,0.677,0.684,0.683
Oman,0.702,0.714,0.722,0.732,0.74,0.748,0.757,0.764,0.77,0.784,0.798,0.811,0.813,0.814,0.818,0.824,0.832,0.833,0.838,0.841,0.823
Qatar,0.793,0.794,0.796,0.801,0.804,0.811,0.818,0.827,0.835,0.833,0.829,0.83,0.84,0.852,0.85,0.852,0.853,0.862,0.866,0.869,0.863
Saudi Arabia,0.746,0.752,0.756,0.765,0.775,0.783,0.785,0.786,0.794,0.798,0.805,0.816,0.824,0.831,0.836,0.842,0.846,0.849,0.856,0.862,0.861
Sudan,0.42,0.428,0.434,0.438,0.441,0.448,0.466,0.472,0.48,0.489,0.489,0.491,0.498,0.503,0.511,0.514,0.517,0.52,0.52,0.521,0.518
Syrian Arab Republic,0.587,0.595,0.602,0.613,0.626,0.639,0.65,0.657,0.651,0.66,0.661,0.687,0.638,0.558,0.544,0.552,0.551,0.558,0.563,0.564,0.561
Tunisia,0.651,0.658,0.663,0.669,0.679,0.686,0.693,0.7,0.705,0.709,0.713,0.715,0.716,0.719,0.721,0.724,0.728,0.732,0.737,0.74,0.734
United Arab Emirates,0.79,0.794,0.798,0.807,0.811,0.815,0.82,0.825,0.827,0.825,0.828,0.835,0.841,0.847,0.853,0.86,0.866,0.898,0.917,0.933,0.93
Yemen,0.434,0.444,0.453,0.462,0.47,0.476,0.481,0.485,0.488,0.493,0.496,0.495,0.497,0.496,0.485,0.455,0.443,0.432,0.427,0.43,0.43
