Year,Algeria,Bahrain,Egypt,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Libya,Morocco,Oman,Palestine,Qatar,Saudi Arabia,Sudan,Syria,Tunisia,Turkey,United Arab Emirates,Yemen
2006,3.17,3.53,3.9,2.93,4.01,7.28,3.92,3.09,5.82,1.84,3.9,2.77,6.01,2.78,1.92,2.9,2.36,3.06,5.7,2.42,2.98
2008,3.32,3.38,3.89,2.83,4.0,7.48,3.93,3.39,5.62,2.0,3.88,2.98,5.83,2.92,1.9,2.81,2.18,2.96,5.69,2.6,2.95
2010,3.44,3.49,3.07,1.94,4.0,7.48,3.74,3.88,5.82,1.94,3.79,2.86,5.44,3.09,1.84,2.42,2.31,2.79,5.73,2.52,2.64
2011,3.44,2.92,3.95,1.98,4.03,7.53,3.89,3.74,5.32,3.55,3.83,3.26,4.97,3.18,1.77,2.38,1.99,5.53,5.73,2.58,2.57
2012,3.83,2.53,4.56,1.98,4.1,7.53,3.76,3.78,5.05,5.15,4.07,3.26,4.8,3.18,1.71,2.38,1.63,5.67,5.76,2.58,3.12
2013,3.83,2.87,3.27,1.98,4.1,7.53,3.76,3.78,5.05,4.82,4.07,3.26,4.8,3.18,1.82,2.54,1.86,5.76,5.63,2.52,2.79
2014,3.83,2.87,3.16,1.98,4.23,7.63,3.76,3.78,5.12,3.8,4.0,3.15,4.72,3.18,1.82,2.54,1.74,6.31,5.12,2.64,2.79
2015,3.95,2.79,3.18,2.16,4.08,7.77,3.86,3.85,4.86,2.25,4.66,3.04,4.57,3.18,1.93,2.37,1.43,6.72,5.12,2.75,2.24
2016,3.56,2.79,3.31,2.34,4.08,7.85,3.96,3.85,4.86,2.25,4.77,3.04,4.49,3.18,1.93,2.37,1.43,6.4,5.04,2.75,2.07
2017,3.56,2.71,3.36,2.45,4.09,7.79,3.87,3.85,4.72,2.32,4.87,3.04,4.46,3.19,1.93,2.15,1.43,6.32,4.88,2.69,2.07
2018,3.5,2.71,3.36,2.45,4.06,7.79,3.93,3.85,4.63,2.19,4.99,3.04,4.39,3.19,1.93,2.15,1.43,6.41,4.37,2.76,1.95
2019,4.01,2.55,3.06,2.38,3.74,7.86,3.93,3.93,4.36,2.02,5.1,3.06,3.89,3.19,1.93,2.7,1.43,6.72,4.09,2.76,1.95
2020,3.77,2.49,2.93,2.2,3.62,7.84,3.62,3.8,4.16,1.95,5.04,3.0,3.83,3.24,2.08,2.54,1.43,6.59,4.48,2.7,1.95
2021,3.77,2.52,2.93,1.95,3.51,7.97,3.49,3.91,3.84,1.95,5.04,3.0,3.94,3.65,2.08,2.47,1.43,5.99,4.35,2.9,1.95
2022,3.66,2.52,2.93,1.96,3.13,7.93,3.17,3.83,3.64,2.06,5.04,3.12,3.86,3.65,2.08,2.47,1.43,5.51,4.35,2.9,1.95
2023,3.66,2.52,2.93,1.96,2.88,7.8,3.04,3.5,3.56,1.78,5.04,3.12,3.47,3.65,2.08,1.76,1.43,5.51,4.33,3.01,1.95
